"LEAGUE","NAME","DY+/-","PLAYER ID","POS","SEASON","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","S%","TG","TP1","TP","TP/GP","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"Finland U20","Mikko Perttu","DY+4","43955/mikko-perttu","F","2022","1","2.0000","1.0000","3.0000","0","2","0","2","0","1","0","1","0","0","0","0","0.00","0","0.00","4","0.00","0","3","3","3.0000","0.00","2","0","100.00","60.00","2","3","21.35","8.4309","2000-09-10","22.01","22.31","59","KET","6'03","L","2018","-","-","-",""
"Czechia U20","Josef Kolacek","DY+2","49863/josef-kolacek","F","2022","2","2.5000","0.5000","3.0000","2","3","1","5","1","0","0","1","0","0","0","0","0.00","0","0.00","0","0.00","3","6","7","3.5000","50.00","6","0","100.00","50.00","4","4","19.94","9.0285","2002-09-06","20.03","20.32","10","CEB","5'11","L","2020","-","-","-",""
"Czechia U20","Jiri Tichacek","DY+1","49917/jiri-tichacek","D","2022","3","1.6667","0.6667","2.3333","1","4","2","5","1","1","0","2","0","0","0","0","0.00","0","0.00","0","0.00","2","7","9","3.0000","28.57","9","2","81.82","56.82","1","3","30.08","4.6535","2003-01-30","19.63","19.92","21","KLA","5'09","L","2021","-","-","-",""
"Sweden U20","Alexander Lundqvist","DY+3","44439/alexander-lundqvist","D","2022","1","1.0000","1.0000","2.0000","1","0","0","1","1","0","0","1","0","0","0","0","0.00","0","0.00","0","0.00","2","2","2","2.0000","100.00","3","1","75.00","41.67","1","2","30.74","3.9031","2001-02-11","21.59","21.89","55","LIF","6'02","L","2019","-","-","-",""
"Czechia U20","Stanislav Vrhel","DY+1","47819/stanislav-vrhel","F","2022","1","2.0000","0.0000","2.0000","0","2","0","2","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","0","2","2","2.0000","0.00","3","0","100.00","100.00","0","2","19.94","6.0190","2002-12-20","19.74","20.03","26","CHM","6'02","L","2021","-","-","-",""
"Czechia U20","Maximilian Hengelmuller","DY+2","49907/maximilian-hengelmuller","F","2022","1","2.0000","0.0000","2.0000","1","1","0","2","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","1","2","2","2.0000","50.00","3","0","100.00","100.00","0","2","22.51","5.3308","2002-02-23","20.56","20.86","36","SAL","6'02","R","2020","-","-","-",""
"Finland U20","Joona Saarelainen","DY-2","56531/joona-saarelainen","F","2022","2","0.5000","1.5000","2.0000","0","1","0","1","2","1","0","3","0","0","0","0","0.00","0","0.00","10","20.00","2","4","4","2.0000","50.00","2","1","66.67","16.67","5","5","18.58","6.4603","2006-04-04","16.45","16.74","23","JUK","5'09","L","2024","-","-","-",""
"Czechia U20","Thomas Heigl","DY+1","56542/thomas-heigl","F","2022","2","1.0000","1.0000","2.0000","1","1","0","2","1","1","0","2","0","0","0","0","0.00","0","0.00","0","0.00","2","4","4","2.0000","50.00","2","0","100.00","62.50","3","5","13.93","8.6134","2003-01-20","19.65","19.95","47","SAL","5'11","L","2021","-","-","-",""
"MHL","Dmitry Katelevsky","DY+1","619135/dmitri-katelevsky","F","2022","1","1.0000","0.0000","2.0000","1","0","0","1","0","0","0","0","1","0","0","0","0.00","0","0.00","5","40.00","2","2","2","2.0000","100.00","2","0","100.00","0.00","0","0","12.52","9.5872","2003-01-17","19.66","19.96","92","KAZ","6'00","L","2021","-","-","-",""
"Czechia U20","Eduard Sale","DY-1","53745/eduard-sale","F","2022","39","1.3846","0.3333","1.8462","34","20","13","54","5","8","4","13","3","2","0","0","0.00","0","0.00","0","0.00","42","72","89","2.2821","58.21","76","27","73.79","36.15","35","58","21.12","5.2458","2005-03-10","17.51","17.81","12","KOM","6'01","L","2023","-","-","-",""
